"","Year","Month","Day","Sentiment","Count","Avg_Per"
"317","2020",5,6,"neutral",989347,0.4455072205
"318","2020",5,6,"positive",194664,0.0873561729583333
"319","2020",5,7,"negative",1211408,0.473127182833333
"320","2020",5,7,"neutral",1136458,0.444729733333333
"321","2020",5,7,"positive",211138,0.0821430837916667
"322","2020",5,8,"negative",1066409,0.4589040025
"323","2020",5,8,"neutral",1049025,0.453113327833333
"324","2020",5,8,"positive",203376,0.0879826695416667
"325","2020",5,9,"negative",961539,0.432550527333333
"326","2020",5,9,"neutral",1061652,0.478752839
"327","2020",5,9,"positive",196314,0.088696633625
"328","2020",5,10,"negative",994443,0.434676855833333
"329","2020",5,10,"neutral",1101411,0.482055123
"330","2020",5,10,"positive",190712,0.08326802125
"331","2020",5,11,"negative",1149332,0.433236757083333
"332","2020",5,11,"neutral",1274432,0.481239269708333
"333","2020",5,11,"positive",225094,0.0855239730833333
"334","2020",5,12,"negative",1140513,0.446893912375
"335","2020",5,12,"neutral",1193348,0.472915115166667
"336","2020",5,12,"positive",196789,0.0801909725416667
"337","2020",5,13,"negative",1230672,0.456730765291667
"338","2020",5,13,"neutral",1254835,0.46741338825
"339","2020",5,13,"positive",204098,0.0758558464583333
"340","2020",5,14,"negative",1173714,0.453442708916667
"341","2020",5,14,"neutral",1204684,0.466618542208333
"342","2020",5,14,"positive",206032,0.07993874875
"343","2020",5,15,"negative",1155303,0.45422524775
"344","2020",5,15,"neutral",1183881,0.466401144833333
"345","2020",5,15,"positive",201194,0.0793736073333333
"346","2020",5,16,"negative",1069624,0.461008309125
"347","2020",5,16,"neutral",1042680,0.452657559166667
"348","2020",5,16,"positive",199783,0.0863341317083333
"349","2020",5,17,"negative",1119193,0.47902785
"350","2020",5,17,"neutral",1030086,0.443755781458333
"351","2020",5,17,"positive",178960,0.0772163684583333
"352","2020",5,18,"negative",1127237,0.4494231185
"353","2020",5,18,"neutral",1180272,0.475307383
"354","2020",5,18,"positive",186919,0.0752694985416667
"355","2020",5,19,"negative",1112594,0.458291531375
"356","2020",5,19,"neutral",1127077,0.463396733666667
"357","2020",5,19,"positive",189823,0.078311735125
"358","2020",5,20,"negative",1129791,0.468351731875
"359","2020",5,20,"neutral",1073284,0.449234328583333
"360","2020",5,20,"positive",197151,0.0824139395
"361","2020",5,21,"negative",1085796,0.457530822666667
"362","2020",5,21,"neutral",1101681,0.464805463958333
"363","2020",5,21,"positive",183519,0.0776637133333333
