"","Month","Date","#OR","#RT","#Total","#Geo","MaxRt","MDRT","MaxLike","MDLike","NA"
"180",1,"2020_01_29_11",15054,48110,63164,18,188689,97,33906,0,"Jan"
"181",1,"2020_01_29_12",16196,54469,70665,16,213634,143,70880,0,"Jan"
"182",1,"2020_01_29_13",17055,58539,75594,7,494356,166,10222,0,"Jan"
"183",1,"2020_01_29_14",17673,66480,84153,16,188632,280,21598,0,"Jan"
"184",1,"2020_01_29_15",17758,65516,83274,16,188668,254,6923,0,"Jan"
"185",1,"2020_01_29_16",20503,67812,88315,11,188625,184,6844,0,"Jan"
"186",1,"2020_01_29_17",17165,56545,73710,20,188686,139,75796,0,"Jan"
"187",1,"2020_01_29_18",16582,53853,70435,8,188643,150,6793,0,"Jan"
"188",1,"2020_01_29_19",17247,52844,70091,13,188643,120,33458,0,"Jan"
"189",1,"2020_01_29_20",17254,51302,68556,16,188638,113,6103,0,"Jan"
"190",1,"2020_01_29_21",13829,44519,58348,20,188695,123,4221,0,"Jan"
"191",1,"2020_01_29_22",16219,53371,69590,28,188654,163,259175,0,"Jan"
"192",1,"2020_01_29_23",15028,52417,67445,9,494348,230,135883,0,"Jan"
"193",1,"2020_01_30_00",15003,56107,71110,16,188623,311,71971,0,"Jan"
"194",1,"2020_01_30_01",14877,53590,68467,14,188681,201,23838,0,"Jan"
"195",1,"2020_01_30_02",11898,45114,57012,19,188690,203,31209,0,"Jan"
"196",1,"2020_01_30_03",14235,50136,64371,20,188681,228,26933,0,"Jan"
"197",1,"2020_01_30_04",13318,50019,63337,17,636108,303,19313,0,"Jan"
"198",1,"2020_01_30_05",11850,44191,56041,9,213678,247,5037,0,"Jan"
"199",1,"2020_01_30_06",12384,45003,57387,22,188686,230,8684,0,"Jan"
"200",1,"2020_01_30_07",12424,42763,55187,21,188632,153,35674,0,"Jan"
"201",1,"2020_01_30_08",20719,66189,86908,17,188640,405,34738,0,"Jan"
"202",1,"2020_01_30_09",16372,63508,79880,15,188661,571,78438,0,"Jan"
"203",1,"2020_01_30_10",17685,71049,88734,17,188640,637,71615,0,"Jan"
"204",1,"2020_01_30_11",16241,70139,86380,14,188682,737,31241,0,"Jan"
"205",1,"2020_01_30_12",17864,72133,89997,17,213693,569,33303,0,"Jan"
"206",1,"2020_01_30_13",20455,78538,98993,13,188663,425,22389,0,"Jan"
"207",1,"2020_01_30_14",20280,75458,95738,17,287432,368,19127,0,"Jan"
"208",1,"2020_01_30_15",22519,72447,94966,22,188639,204,12671,0,"Jan"
"209",1,"2020_01_30_16",18642,62769,81411,21,188667,194,17152,0,"Jan"
"210",1,"2020_01_30_17",20204,60731,80935,10,188632,110,6418,0,"Jan"
"211",1,"2020_01_30_18",22583,60583,83166,14,188631,70,5755,0,"Jan"
"212",1,"2020_01_30_19",22976,67116,90092,12,213641,110,25833,0,"Jan"
"213",1,"2020_01_30_20",26780,80977,107757,22,188690,127,50913,0,"Jan"
"214",1,"2020_01_30_21",22920,70842,93762,12,213652,134,191950,0,"Jan"
"215",1,"2020_01_30_22",18758,68350,87108,13,494275,236,134326,0,"Jan"
"216",1,"2020_01_30_23",20332,71601,91933,10,188639,217,23087,0,"Jan"
"217",1,"2020_01_31_00",16304,62064,78368,12,188664,254,24930,0,"Jan"
"218",1,"2020_01_31_01",18093,64942,83035,16,188655,240,24035,0,"Jan"
"219",1,"2020_01_31_02",17134,65189,82323,14,188653,209,64982,0,"Jan"
"220",1,"2020_01_31_03",17005,62628,79633,14,188638,216,60492,0,"Jan"
"221",1,"2020_01_31_04",14663,55369,70032,10,188640,251,6839,0,"Jan"
"222",1,"2020_01_31_05",14708,53590,68298,20,495029,197,19751,0,"Jan"
"223",1,"2020_01_31_06",14985,53099,68084,22,188820,168,17062,0,"Jan"
"224",1,"2020_01_31_07",12378,43192,55570,12,188943,135,17236,0,"Jan"
"225",1,"2020_01_31_08",16732,49219,65951,24,189066,114,62824,0,"Jan"
"226",1,"2020_01_31_09",17078,50880,67958,11,189171,129,16769,0,"Jan"
"227",1,"2020_01_31_10",16712,53729,70441,13,189285,167,12848,0,"Jan"
"228",1,"2020_01_31_11",18539,60782,79321,12,189379,181,11668,0,"Jan"
"229",1,"2020_01_31_12",16633,57750,74383,15,189501,193,78446,0,"Jan"
"230",1,"2020_01_31_13",19438,68204,87642,19,189636,204,12344,0,"Jan"
"231",1,"2020_01_31_14",19518,68026,87544,17,495017,195,30040,0,"Jan"
"232",1,"2020_01_31_15",17789,60490,78279,13,189914,186,13537,0,"Jan"
"233",1,"2020_01_31_16",20626,64873,85499,14,189954,131,13476,0,"Jan"
"234",1,"2020_01_31_17",18119,55260,73379,18,190164,95,24154,0,"Jan"
"235",1,"2020_01_31_18",20063,56018,76081,17,213645,68,6985,0,"Jan"
"236",1,"2020_01_31_19",18488,49614,68102,19,190310,66,8256,0,"Jan"
"237",1,"2020_01_31_20",19822,49632,69454,19,190335,52,41775,0,"Jan"
"238",1,"2020_01_31_21",19673,57147,76820,11,190408,72,24921,0,"Jan"
"239",1,"2020_01_31_22",18510,58266,76776,11,190482,123,19107,0,"Jan"
"240",1,"2020_01_31_23",17725,52308,70033,13,190517,105,54940,0,"Jan"
"241",2,"2020_02_01_00",16919,53926,70845,18,190613,124,13991,0,"Feb"
"242",2,"2020_02_01_01",14564,50752,65316,15,190638,171,20998,0,"Feb"
"243",2,"2020_02_01_02",10226,37028,47254,10,190718,188,20076,0,"Feb"
